id,lemma,type
2780,தேர்வு,Noun
2781,ஆளுங்கட்சி,Noun
2782,பிரதேசம்,Noun
2783,அறிவுறுத்து,Verb
2784,பரபரப்பு,Noun
2785,எதிர்ப்பு,Noun
2786,உள்ளாட்சி,Noun
2787,தேர்தல்,Noun
2788,பெரும்பான்மை,Adjectives
2789,வெற்றி,Noun
2790,6,Numerals
2791,555,Numerals
2792,444-ல்,Numerals
2793,போலி,Noun
2794,பிரசாரம்,Noun
2795,பொதுக்கூட்டம்,Noun
2796,புலனாய்வு,Noun
2797,நிராகரி,Verb
2798,மேற்பட்ட,Adjectives
2799,வாக்காளர்,Noun
2800,45,Numerals
2801,வாக்கு,Noun
2802,பதிவு,Noun
2803,செய்திரு,Verb
2804,மீட்டர்,Numerals
2805,கைத்துப்பாக்கி,Noun
2806,சுடு,Noun
2807,இரட்டையர்,Noun
2808,பிரிவு,Noun
2809,தங்கம்,Noun
2810,பதக்கம்,Noun
2811,வெல்,Verb
2812,இந்நிலை,Noun
2813,ஜோடி,Noun
2814,25,Numerals
2815,இதுபோல்,Adverb
2816,துப்பாக்கிச்சுடுதல்,Noun
2817,சாகு,Adjectives
2818,வரை,Adverb
2819,அதை,Verb
2820,ஆக,Adverb
2821,மன்னிப்பு,Noun
2822,தளபதி,Noun
2823,சரணடை,Verb
2824,மேற்கண்ட,Adjectives
2825,இணையதளம்,Noun
2826,அச்சப்படு,Verb
2827,அற்றவன்,Noun
2828,தைரியம்,Noun
2829,ஆயுள்,Noun
2830,ஆதரவாளர்,Noun
2831,புறக்கணி,Verb
2832,சிறுத்தை,Noun
2833,விருந்தினர்,Noun
2834,அதிர்ச்சி,Noun
2835,வேதனை,Noun
2836,ஈவிரக்கம்,Noun
2837,கணக்கு,Noun
2838,வித்த,Adjectives
2839,சிறப்பி,Verb
2840,ஆனது,Verb
2841,சுமார்,Adverb
2842,மேலான,Adjectives
2843,ஒட்டுமொத்தம்,Adjectives
2844,கேவலப்படுத்து,Verb
2845,அத்துடன்,Adverb
2846,பிறர்,Noun
2847,துன்பம்,Noun
2848,இன்பம்,Noun
2849,காணு,Adjectives
2850,கொடூரம்,Adjectives
2851,வன்மம்,Noun
2852,வக்கிரபுத்தி,Noun
2853,இதன்மூலம்,Adverb
2854,வெளிப்படுத்து,Verb
2855,சிங்கள,Noun
2856,மரபு,Noun
2857,மீறு,Verb
2858,மனிதநேயம்,Noun
2859,இழை,Verb
2860,ஜனநாயகம்,Noun
2861,கண்டி,Verb
2862,நேர்மாறு,Adverb
2863,குற்றவாளி,Noun
2864,சிவப்பு,Noun
2865,கம்பளம்,Noun
2866,விரி,Verb
2867,அத்தகைய,Adjectives
2868,பங்களிப்பு,Noun
2869,உறுதிப்படுத்து,Verb
2870,போக்கு,Noun
2871,வன்மை,Adverb
2872,உடனடியாக,Adverb
2873,கைவிடு,Verb
2874,வற்புறுத்து,Verb
2875,உறுப்பினர்,Noun
2876,தமிழினம்,Noun
2877,விரோதம்,Noun
2878,அவ்விழா,Noun
2879,ஒற்றுமை,Noun
2880,கர்நாடகம்,Noun
2881,குடியரசு,Noun
2882,அமல்படுத்து,Verb
2883,கழகம்,Noun
2884,நிரூபி,Verb
2885,சுயேட்சை,Noun
2886,தகுதி,Noun
2887,நீக்கம்,Noun
2888,தாவல்,Noun
2889,கொறடா,Noun
2890,வாக்களி,Adjectives
2891,குரல்,Noun
2892,வாக்கெடுப்பு,Noun
2893,செயல்,Noun
2894,சட்டப்பேரவை,Noun
2895,அமளி,Noun
2896,அடிதடி,Noun
2897,கூச்சல்,Noun
2898,மிகப்பெரிய,Adjectives
2899,களங்கம்,Noun
2900,உண்டாகு,Adjectives
2901,அவமானம்,Noun
2902,நீக்கு,Verb
2903,நிறுவனம்,Noun
2904,நச்சுத்தன்மை,Noun
2905,கழிவு,Noun
2906,நீர்,Noun
2907,கல்,Verb
2908,மறுநாள்,Adverb
2909,திருவொற்றியூர்,Noun
2910,ஆர்ப்பாட்டம்,Noun
2911,அக்கட்சி,Noun
2912,வாழு,Adjectives
2913,ஆபத்து,Noun
2914,ஒட்டு,Verb
2915,60,Numerals
2916,தொழில்,Noun
2917,ஆலை,Noun
2918,வெளியேற்று,Adjectives
2919,நச்சு,Noun
2920,தன்மை,Noun
2921,ரசாயனம்,Noun
2922,குழாய்,Noun
2923,வேலை,Noun
2924,மும்முரம்,Adverb
2925,நட,Verb
2926,பெரிய,Adjectives
2927,சாமியிடம்,Noun
2928,அப்பகுதி,Noun
2929,மேற்படி,Adverb
2930,உற்பத்தி,Noun
2931,மடி,Adjectives
2932,சூழ்நிலை,Noun
2933,முற்றிலும்,Adverb
2934,தடைபடு,Verb
2935,சாமி,Noun
2936,தடு,Verb
2937,நிறுத்து,Verb
2938,வலியுறுத்து,Verb
2939,14.10.2010,Numerals
2940,வியாழன்,Noun
2941,கிழமை,Noun
2942,இலக்கியம்,Noun
2943,கண்டன,Noun
2944,தீவிரவாதி,Noun
2945,மாகாணம்,Noun
2946,கேல்,Noun
2947,வாகனம்,Noun
2948,வீசு,Adjectives
2949,ராக்கெட்,Noun
2950,தாக்கு,Verb
2951,சாலையோரம்,Noun
2952,கிட,Adjectives
2953,ஏறு,Verb
2954,சாலை,Noun
2955,வன்முறை,Noun
2956,பலியாகு,Adjectives
2957,நாள்தோறும்,Adverb
2958,2010,Numerals
2959,ஜனவரி,Noun
2960,ஜூன்,Noun
2961,மட்டும்,Adverb
2962,1200க்க்,Numerals
2963,2000,Numerals
2964,மோது,Verb
2965,37,Numerals
2966,தானியங்கி,Noun
2967,இறஙு,Verb
2968,எச்சரிக்கை,Noun
2969,ஒலி,Noun
2970,கண்டுகொள்,Verb
2971,ஓட்டுநர்,Noun
2972,பஸ்,Noun
2973,கட,Verb
2974,ஓட்டு,Verb
2975,முயல்,Verb
2976,பயங்கரம்,Adjectives
2977,வேகம்,Noun
2978,பலம்,Adverb
2979,விபத்து,Noun
2980,அருகு,Noun
2981,மருத்துவமனை,Noun
2982,சிலர்,Noun
2983,கவலைக்கிடம்,Noun
2984,பணியாளர்,Noun
2985,கொலை,Noun
2986,மிரட்டல்,Noun
2987,மாநகரம்,Noun
2988,அக்டோபர்,Noun
2989,18-ல்,Numerals
2990,10-க்க்,Numerals
2991,கடிதம்,Noun
2992,தனிப்பிரிவு,Noun
2993,திங்கள்கிழமை,Noun
2994,அடிக்கடி,Adverb
2995,தொந்தரவு,Noun
2996,சுற்று,Verb
2997,நபர்,Noun
2998,ஊடுருவு,Verb
2999,வெளியே,Adverb
3000,காவல்துறை,Noun
3001,உள்பட,Adjectives
3002,சீரமைப்பு,Noun
3003,தளம்,Noun
3004,தன்னார்வம்,Noun
3005,தொண்டு,Noun
3006,ஞாயிற்றுக்கிழமை,Noun
3007,தாக்குதல்,Noun
3008,தொடர்பாளர்,Noun
3009,வெளிவரு,Adjectives
3010,பேட்டி,Noun
3011,கவுன்சில்,Noun
3012,அந்தஸ்து,Noun
3013,உறுதியாகு,Verb
3014,ஏறக்குறைய,Adverb
3015,19,Numerals
3016,இடைவெளி,Noun
3017,நிரந்தரம்,Noun
3018,அல்,Adjectives
3019,உறுப்பு,Noun
3020,இடம்பெறு,Verb
3021,போட்டியிடு,Adjectives
3022,விலகு,Verb
3023,பிரகாசமடை,Verb
3024,பிராந்தியம்,Noun
3025,மேற்கு,Noun
3026,ஐரோப்பா,Noun
3027,ஆப்பிரிக்கா,Noun
3028,வளர்,Adjectives
3029,பங்காற்றும்,Verb
3030,மூன்றில்,Numerals
3031,பங்கு,Noun
3032,இதன்படி,Adverb
3033,ஆதரவு,Noun
3034,தேவை,Noun
3035,கடைசி,Adverb
3036,ஆகியவற்றின்,Noun
3037,நிறைவடை,Verb
3038,இதையொட்டி,Adverb
3039,சீர்திருத்தம்,Noun
3040,ஜி-4,Numerals
3041,தேர்ந்தெடு,Adjectives
3042,பதவிக்காலம்,Noun
3043,விவாதி,Verb
3044,உரையாற்று,Adjectives
3045,அவசியம்,Verb
3046,அப்போதுதான்,Adverb
3047,ஒருமி,Adjectives
3048,எட்டு,Verb
3049,உருக்கு,Noun
3050,சங்கம்,Noun
3051,விருது,Noun
3052,டோக்கியோ,Noun
3053,ஓராண்டு,Noun
3054,முதன்,Numerals
3055,இனம்,Adjectives
3056,ரீதி,Noun
3057,வர்ணனையாளர்,Noun
3058,ராஜிநாமா,Noun
3059,நிகழ்ச்சி,Noun
3060,பெயர்,Noun
3061,கேலி,Adverb
3062,உச்சரி,Verb
3063,அவமானப்படுத்து,Adjectives
3064,விதம்,Noun
3065,வருத்தம்,Noun
3066,பேச்சு,Noun
3067,இந்தளவு,Noun
3068,சர்ச்சை,Noun
3069,பெரிது,Adjectives
3070,பய,Verb
3071,வார்த்தை,Noun
3072,மன்து,Noun
3073,புண்படுத்து,Verb
3074,மன்னி,Verb
3075,தடவை,Noun
3076,பழமைவாய்,Adjectives
3077,ஆலயம்,Noun
3078,சிலை,Noun
3079,திருடு,Noun
3080,வசி,Adjectives
3081,ஆயிரக்கணக்கு,Noun
3082,திருப்பு,Verb
3083,கொடுத்திடு,Adjectives
3084,கோயில்,Noun
3085,வேண்டுகோள்,Noun
3086,எவ்விதம்,Adjectives
3087,சன்மானம்,Noun
3088,பித்தளை,Noun
3089,திருடர்,Noun
3090,பழமை,Noun
3091,வாய்,Verb
3092,மட்டுமல்லாது,Adverb
3093,முழுவதும்,Adjectives
3094,வழிபாடு,Noun
3095,பேரவை,Noun
3096,வெற்றிபெறு,Verb
3097,206,Numerals
3098,106,Numerals
3099,எதிராக,Adverb
3100,பதிவாகு,Verb
3101,திங்கட்கிழமையன்று,Noun
3102,எதிர்க்கட்சி,Noun
3103,சுயேச்சை,Noun
3104,அவை,Noun
3105,ஒத்திவை,Verb
3106,மகளிர்,Noun
3107,ஒற்றையர்,Noun
3108,இறுதி,Noun
3109,தோல்வியடை,Verb
3110,19-21,Numerals
3111,புள்ளிக்கணக்கு,Noun
3112,இழ,Adjectives
3113,22-20,Numerals
3114,21-13,Numerals
3115,புள்ளி,Noun
3116,கைப்பற்று,Verb
3117,2-1,Numerals
3118,தா,Adjectives
3119,தங்கப்பதக்கம்,Noun
3120,38-,Numerals
3121,பதக்கப்பட்டியல்,Noun
3122,முன்னேறு,Verb
3123,நூறு,Noun
3124,மேற்பட்டோர்,Noun
3125,இறுதிநாள்,Noun
3126,வருகை,Noun
3127,பல,Adjectives
3128,உருவம்,Noun
3129,பொம்மை,Noun
3130,எரி,Verb
3131,இதேபோல்,Adverb
3132,உருவப்பொம்மை,Noun
3133,படம்,Noun
3134,தேசியக்கொடி,Noun
3135,போன்றவற்றை,Noun
3136,கூட்டப்படு,Adjectives
3137,உயர்நீதிமன்றம்,Noun
3138,தகுதிநீக்கம்,Noun
3139,மனு,Noun
3140,தீர்ப்பளி,Adjectives
3141,கோரு,Adjectives
3142,ஒருவரி,Noun
3143,தீர்மானம்,Noun
3144,டிக்கெட்,Noun
3145,வில்,Verb
3146,தீர்,Verb
3147,15,Numerals
3148,விடுமுறை,Noun
3149,தென்மாவட்டம்,Noun
3150,தேதியன்று,Noun
3151,முன்பதிவு,Noun
3152,காத்திரு,Verb
3153,90,Numerals
3154,முந்தைய,Adjectives
3155,முதல்நாள்,Noun
3156,8,Numerals
3157,வகுப்பு,Noun
3158,படுக்கை,Noun
3159,ஏசி,Noun
3160,வேலைநிறுத்தம்,Noun
3161,இயல்பு,Adjectives
3162,வாழ்க்கை,Noun
3163,1949,Numerals
3164,15-ல்,Numerals
3165,புரட்சிகரம்,Adjectives
3166,முன்னணி,Noun
3167,மலைப்பிரதேசம்,Noun
3168,பள்ளத்தாக்கு,Noun
3169,கடை,Noun
3170,வர்த்தகம்,Noun
3171,மனிதன்,Noun
3172,நேயம்,Noun
3173,டாக்டர்,Noun
3174,செவிலியர்,Noun
3175,தாய்,Noun
3176,சேய்,Noun
3177,நலம்,Noun
3178,125,Numerals
3179,மேம்பாடு,Noun
3180,கட்டடம்,Noun
3181,திறப்பு,Noun
3182,இதயம்,Noun
3183,நோய்,Noun
3184,கருப்பை,Noun
3185,மார்பகம்,Noun
3186,புற்றுநோய்,Noun
3187,தடுப்பு,Noun
3188,பணம்,Noun
3189,ஒதுக்கு,Verb
3190,முதன்முதல்,Noun
3191,பயன்படுத்து,Verb
3192,ஏன்,Adverb
3193,இன்றைக்கு,Adverb
3194,காரியம்,Noun
3195,செலவழி,Verb
3196,ஆங்காங்கே,Adverb
3197,அது,Noun
3198,பிறகு,Adverb
3199,கொஞ்சம்,Adverb
3200,75,Numerals
3201,ஆற்று,Verb
3202,மாத்திரம்,Adverb
3203,பலன்,Verb
3204,இத்தனை,Adverb
3205,மருத்துவர்,Noun
3206,பயன்,Verb
3207,மருத்துவத்துறை,Noun
3208,நண்பர்,Noun
3209,கடமை,Noun
3210,மனப்பான்மை,Noun
3211,உணர்வு,Noun
3212,காப்பாற்று,Verb
3213,ஒத்துழைப்பு,Noun
3214,ஒத்துழை,Verb
3215,சாதாரணம்,Adjectives
3216,சாமானிய,Adjectives
3217,ஏழையெளிய,Adjectives
3218,மனசாட்சி,Noun
3219,மனிதாபிமானம்,Noun
3220,ஆகவே,Adverb
3221,மக்களவை,Noun
3222,பலர்,Noun
3223,உடல்,Noun
3224,தாய்சேய்,Noun
3225,அதற்கேற்ப,Adverb
3226,உடல்நிலை,Noun
3227,இங்கு,Adverb
3228,சிகரம்,Noun
3229,கோலாகலம்,Noun
3230,நவம்,Noun
3231,ஒன்பது,Numerals
3232,செல்வம்,Noun
3233,மகாலட்சுமி,Noun
3234,வழிபடு,Verb
3235,போரிடு,Verb
3236,வாகை,Noun
3237,சூடு,Adjectives
3238,கைவினை,Noun
3239,கலைஞர்,Noun
3240,உழைப்பு,Noun
3241,மதிப்பளி,Adjectives
3242,திருநாளாம்,Adjectives
3243,நற்காரியம்,Noun
3244,அனைவர்,Noun
3245,நன்னாள்,Noun
3246,எல்லாம்,Adjectives
3247,நலன்,Noun
3248,வளம்,Noun
3249,அமைதி,Noun
3250,நல்லாட்சி,Noun
3251,மலர்,Verb
3252,மனமார்ந்த,Adjectives
3253,நல்வாழ்த்து,Noun
3254,தொழிலாளர்,Noun
3255,இடதுசாரி,Noun
3256,21,Numerals
3257,கூட்டறிக்கை,Noun
3258,நிர்வாகி,Noun
3259,செயற்குழு,Noun
3260,ஒப்பந்தம்,Noun
3261,பேச்சுவார்த்தை,Noun
3262,சுமூக,Adjectives
3263,தீர்வு,Noun
3264,காணப்படு,Verb
3265,காண்,Verb
3266,பன்னாடு,Noun
3267,பழிவாங்கு,Verb
3268,உடந்தை,Noun
3269,சத்துணவு,Noun
3270,ஏவு,Verb
3271,இத்தகைய,Adjectives
3272,மிகுந்த,Adjectives
3273,எதிர்பார்ப்பு,Noun
3274,இடை,Noun
3275,அத்தியாயம்,Adverb
3276,பல்கலை,Noun
3277,வலுப்படுத்து,Verb
3278,பிரகாசப்படுத்து,Verb
3279,மட்டுமின்றி,Adverb
3280,பயன்பெறு,Adjectives
3281,உறுதுணை,Noun
3282,பயனடை,Adjectives
3283,விஷயம்,Noun
3284,உருவெடு,Adjectives
3285,சவால்,Noun
3286,சமாளி,Verb
3287,உத்தி,Noun
3288,வகு,Verb
3289,எதிர்காலம்,Noun
3290,கண்டறி,Verb
3291,அதற்குரிய,Adjectives
3292,உதவிகரம்,Adverb
3293,பரிமாறு,Verb
3294,தெற்காசியா,Noun
3295,குறி,Adjectives
3296,பரிமாற்றம்,Noun
3297,கட்டமைப்பு,Noun
3298,ஆராய்,Verb
3299,விரிவு,Adverb
3300,சமூகம்,Noun
3301,கா,Adjectives
3302,குறிப்பாக,Adverb
3303,பரிமாணம்,Noun
3304,ஆக்க,Adjectives
3305,அணு,Noun
3306,சக்தி,Noun
3307,கையெழுத்தாகு,Verb
3308,அணுசக்தி,Noun
3309,கையெழுத்து,Noun
3310,ஆனதால்,Verb
3311,அத்துறை,Noun
3312,கூட்டாக,Adverb
3313,உலை,Noun
3314,தயாரி,Verb
3315,விண்வெளி,Noun
3316,நீராதாரம்,Noun
3317,பருவம்,Noun
3318,நிலவரம்,Noun
3319,வானியல்,Noun
3320,சேவை,Noun
3321,உள்ளிட்டவை,Noun
3322,வங்கி,Noun
3323,அன்னியம்,Noun
3324,செலாவணி,Noun
3325,நிதியம்,Noun
3326,அதிகமான,Adjectives
3327,செயல்படுத்து,Verb
3328,ஆர்வம்,Noun
3329,மதச்சார்பின்மை,Noun
3330,எப்படி,Adverb
3331,எழுப்பு,Verb
3332,நம்பகத்தன்மை,Noun
3333,உக,Verb
3334,அஞ்சு,Verb
3335,வகுப்புவாதம்,Adjectives
3336,முற்றுப்புள்ளி,Noun
3337,ஜாதி,Noun
3338,முன்னிறுத்து,Verb
3339,லாபம்,Noun
3340,நீதி,Noun
3341,சமதர்மம்,Noun
3342,சமம்,Adjectives
3343,ஏழை,Noun
3344,பணக்காரர்,Noun
3345,ஹிந்து,Noun
3346,முஸ்லிம்,Noun
3347,சீக்கியர்,Noun
3348,எல்லோர்,Noun
3349,முத்திரை,Noun
3350,குத்து,Verb
3351,அதனால்,Adverb
3352,தனித்து,Adverb
3353,சிரமமானது,Verb
3354,ஊரகம்,Noun
3355,ஊழல்,Noun
3356,துரதிருஷ்டவசம்,Adverb
3357,தேவையுள்ளோர்,Noun
3358,ஒப்பிடு,Adjectives
3359,ஏராளமான,Adjectives
3360,குடிபெயர்,Verb
3361,பலப்படுத்து,Verb
3362,பலன்கிட்டு,Verb
3363,அதுபோல்,Adverb
3364,தேங்கு,Verb
3365,மீண்டும்,Adverb
3366,ஓவர்,Noun
3367,2009,Numerals
3368,கௌரவம்,Noun
3369,கமிஷனர்,Noun
3370,நேரில்,Adverb
3371,ஊடகம்,Noun
3372,விளம்பரம்,Noun
3373,ஒளிபரப்பு,Verb
3374,ஆகியவற்றில்,Noun
3375,470,Numerals
3376,ஆவணம்,Noun
3377,குற்றவியல்,Noun
3378,409,Numerals
3379,420,Numerals
3380,468,Numerals
3381,477,Numerals
3382,120,Numerals
3383,அநேகமாக,Adverb
3384,நவம்பர்,Numerals
3385,செல்லல்,Verb
3386,காய்ச்சல்,Noun
3387,93,Numerals
3388,வயது,Noun
3389,சீர்,Adverb
3390,சுவாசம்,Noun
3391,அவதிப்பட்டு,Verb
3392,தேயிலை,Noun
3393,தோட்டம்,Noun
3394,வனத்தோட்டம்,Noun
3395,2009-2010,Numerals
3396,886,Numerals
3397,275,Numerals
3398,வழங்கிட்,Verb
3399,118,Numerals
3400,313,Numerals
3401,359,Numerals
3402,951,Numerals
3403,96,Numerals
3404,30,Numerals
3405,அட்டவணை,Noun
3406,இறுதிசெய்,Verb
3407,பொற்கோயில்,Noun
3408,பயணத்திட்டம்,Noun
3409,சுற்றுப்பயணம்,Noun
3410,தெரியவா,Verb
3411,குழந்தை,Noun
3412,உயிரிழப்பு,Noun
3413,சிகிச்சை,Noun
3414,86,Numerals
3415,2002,Numerals
3416,671,Numerals
3417,மலேரியா,Noun
3418,அடுத்ததாக,Adverb
3419,நொய்டா,Noun
3420,35,Numerals
3421,தூக்கிடு,Verb
3422,தற்கொலை,Noun
3423,வழக்கம்போல்,Adverb
3424,நள்ளிரவு,Noun
3425,கணிப்பொறி,Noun
3426,காவல்நிலையம்,Noun
3427,மகள்,Noun
3428,பெற்றோர்,Noun
3429,எழுதிவை,Verb
3430,கணவன்,Noun
3431,அதற்காக,Adverb
3432,ஜீவனாம்சம்,Noun
3433,தொடு,Verb
3434,பச்சையம்மாள்,Noun
3435,மாதம்தோறும்,Adverb
3436,நீதிபதி,Noun
3437,மார்க்கண்டேயம்,Noun
3438,அடங்கு,Adjectives
3439,கொடுமை,Noun
3440,2005,Numerals
3441,வழக்காடு,Adjectives
3442,வாதாடு,Verb
3443,தங்கியிரு,Verb
3444,தாம்பத்யம்,Noun
3445,ஈடாக,Adverb
3446,மனைவியர்,Noun
3447,பூர்த்தி,Noun
3448,1.,Numerals
3449,ஆண்,Noun
3450,துணைவர்,Noun
3451,2.,Numerals
3452,திருமணம்,Noun
3453,எட்டியிரு,Verb
3454,3.,Numerals
3455,4.,Numerals
3456,விருப்பப்படு,Verb
3457,அங்கீகரி,Verb
3458,நால்,Numerals
3459,ஆடவன்,Noun
3460,உறுதிபடு,Verb
3461,இழப்பீடு,Noun
3462,மசோதா,Noun
3463,விதிமுறை,Noun
3464,சற்று,Adverb
3465,மாறுபடு,Verb
3466,மாறுபாடு,Noun
3467,இந்திய-அமெரிக்கா,Noun
3468,நிபந்தனை,Noun
3469,பொருந்து,Verb
3470,மாற்றம்,Noun
3471,விவகாரத்துறை,Noun
3472,இணையமைச்சர்,Noun
3473,வெளியுறவுத்துறை,Noun
3474,துணையமைச்சர்,Noun
3475,மேம்படு,Verb
3476,சரிவரு,Adverb
3477,நடைமுறை,Noun
3478,பின்பற்று,Verb
3479,தரம்,Noun
3480,அதிகமாக,Adverb
3481,உதிரி,Adjectives
3482,பாகம்,Noun
3483,ஏமாற்றத்துக்குள்ளாக்கு,Verb
3484,எஞ்சு,Adjectives
3485,ஆயுதம்,Noun
3486,பரவல்,Noun
3487,முக்கியமானவர்,Noun
3488,தீவிரம்,Noun
3489,சந்தேகம்,Adjectives
3490,இருவழி,Noun
3491,போல்,Verb
3492,சங்கடம்,Noun
3493,வரல்,Verb
3494,தளவாடம்,Noun
3495,காப்புரிமை,Noun
3496,விதிமீறல்,Noun
3497,ஒருங்கிணை,Verb
3498,விவாதம்,Noun
3499,முள்ளிவாய்க்கால்,Noun
3500,மட்டுமல்லாமல்,Adverb
3501,வெடிபொருள்,Noun
3502,ஜாக்கெட்டு,Noun
3503,மாறு,Verb
3504,படையினர்,Noun
3505,செயலிழ,Verb
3506,தோற்கடி,Adjectives
3507,இதுபோன்ற,Adjectives
3508,எந்தவிதத்,Adjectives
3509,சந்தேகி,Verb
3510,ராணுவத்தினர்,Noun
3511,அவசரம்,Noun
3512,பிரகடனம்,Noun
3513,பயமுறுத்து,Verb
3514,வேண்டியவை,Verb
3515,ஏராளம்,Noun
3516,எப்போதைக்கு,Adverb
3517,சாத்தியம்,Noun
3518,தூண்டுதல்,Noun
3519,யோசனை,Noun
3520,சீர்திருத்த,Adjectives
3521,சொல்,Verb
3522,1995ல்,Numerals
3523,அப்போதைய,Adjectives
3524,பொதுச்சபை,Noun
3525,மலேசியா,Noun
3526,நாட்டவர்,Noun
3527,வரைவு,Noun
3528,பின்தங்கு,Verb
3529,1992-96ல்,Numerals
3530,ஜெர்மனி,Noun
3531,அதாவது,Adverb
3532,அணுஉலை,Noun
3533,கூடம்,Noun
3534,படிப்படி,Noun
3535,2022,Numerals
3536,gஎர்மனி,Noun
