sign,initial,medial,terminal,solo,total,class
017,6,129,7,0,142,MED
018,8,107,8,0,123,MED
019,6,97,8,0,111,MED
020,5,84,2,0,91,MED
021,5,44,0,0,49,MED
070,11,75,123,0,209,TMK
071,1,49,74,0,124,TMK
072,4,33,49,0,86,TMK
100,9,87,6,0,102,MED
101,9,57,11,0,77,MED
102,9,54,2,0,65,MED
103,5,41,3,0,49,MED
110,4,39,4,0,47,MED
111,3,29,2,0,34,MED
120,3,53,4,0,60,MED
121,4,38,3,0,45,MED
122,3,19,1,0,23,MED
150,0,9,0,0,9,MED
151,0,7,1,0,8,MED
152,2,5,0,0,7,MED
153,1,7,0,0,8,MED
154,0,7,0,0,7,MED
155,0,10,1,0,11,MED
156,0,13,0,0,13,MED
157,1,6,0,0,7,MED
158,0,2,0,0,2,MED
159,11,117,146,0,274,CON
160,0,5,0,0,5,MED
161,0,6,1,0,7,MED
162,0,3,0,0,3,MED
163,0,8,1,0,9,MED
164,0,6,3,0,9,MED
165,1,5,0,0,6,MED
166,1,5,0,0,6,MED
167,0,3,1,0,4,MED
168,0,7,2,0,9,MED
169,1,6,0,0,7,MED
170,0,9,0,0,9,MED
171,0,8,0,0,8,MED
172,1,4,0,0,5,MED
173,0,2,0,0,2,MED
174,1,8,0,0,9,MED
175,3,5,0,0,8,MED
176,0,1,0,0,1,MED
177,0,4,1,0,5,MED
178,1,4,1,0,6,MED
179,1,3,1,0,5,MED
180,1,10,0,0,11,MED
181,1,2,1,0,4,ITM
182,0,5,0,0,5,MED
183,0,2,0,0,2,MED
184,0,3,0,0,3,MED
185,0,5,0,0,5,MED
186,0,9,1,0,10,MED
187,0,4,0,0,4,MED
188,0,4,0,0,4,MED
189,0,7,0,0,7,MED
190,1,3,0,0,4,MED
191,0,3,0,0,3,MED
192,0,5,0,0,5,MED
193,0,3,0,0,3,MED
194,0,1,1,0,2,CON
195,2,4,1,0,7,MED
196,1,3,1,0,5,MED
197,0,2,0,0,2,MED
198,1,2,0,0,3,MED
199,1,5,1,0,7,MED
200,4,27,2,0,33,MED
201,3,32,4,0,39,MED
202,3,31,3,0,37,MED
203,0,3,1,0,4,MED
204,0,2,0,0,2,MED
205,1,4,0,0,5,MED
206,0,3,0,0,3,MED
207,1,8,0,0,9,MED
208,1,3,0,0,4,MED
209,0,4,0,0,4,MED
210,0,2,0,0,2,MED
211,0,2,0,0,2,MED
212,1,3,0,0,4,MED
213,1,4,0,0,5,MED
214,0,1,0,0,1,MED
215,0,1,0,0,1,MED
216,0,2,0,0,2,MED
217,1,3,0,0,4,MED
218,1,3,1,0,5,MED
220,0,1,0,0,1,MED
221,0,3,0,0,3,MED
222,0,2,1,0,3,MED
223,0,2,0,0,2,MED
224,0,2,1,0,3,MED
225,0,5,0,0,5,MED
226,0,4,0,0,4,MED
227,1,2,0,0,3,MED
228,0,2,0,0,2,MED
229,1,0,0,0,1,INITIAL
231,0,4,0,0,4,MED
232,0,3,0,0,3,MED
233,0,2,1,0,3,MED
234,0,2,0,0,2,MED
235,0,2,0,0,2,MED
236,0,2,0,0,2,MED
237,0,4,0,0,4,MED
238,0,0,1,0,1,TMK
239,2,4,0,0,6,MED
240,0,1,0,0,1,MED
241,0,2,1,0,3,MED
242,0,2,0,0,2,MED
243,0,3,0,0,3,MED
244,0,1,0,0,1,MED
245,0,1,0,0,1,MED
246,0,5,0,0,5,MED
247,0,6,1,0,7,MED
248,0,4,0,0,4,MED
249,1,2,0,0,3,MED
250,0,1,0,0,1,MED
251,2,1,0,0,3,INITIAL
252,1,4,0,0,5,MED
253,0,3,0,0,3,MED
254,1,1,0,0,2,CON
256,0,1,0,0,1,MED
257,0,3,0,0,3,MED
258,0,3,0,0,3,MED
259,2,3,0,0,5,MED
260,1,5,1,0,7,MED
261,0,1,0,0,1,MED
262,0,3,0,0,3,MED
263,0,3,0,0,3,MED
264,0,2,0,0,2,MED
265,0,1,0,0,1,MED
266,0,1,0,0,1,MED
267,0,1,0,0,1,MED
269,0,2,0,0,2,MED
270,0,1,0,0,1,MED
271,0,1,0,0,1,MED
272,0,3,0,0,3,MED
273,1,1,0,0,2,CON
275,1,5,0,0,6,MED
277,0,1,0,0,1,MED
278,0,1,0,0,1,MED
279,1,3,0,0,4,MED
280,0,2,0,0,2,MED
281,0,5,0,0,5,MED
282,0,1,0,0,1,MED
283,0,3,0,0,3,MED
284,0,2,0,0,2,MED
285,0,2,0,0,2,MED
286,0,1,0,0,1,MED
287,0,1,0,0,1,MED
288,0,1,0,0,1,MED
289,1,2,0,0,3,MED
290,0,3,0,0,3,MED
292,1,3,0,0,4,MED
293,1,0,0,0,1,INITIAL
294,0,2,0,0,2,MED
295,0,1,0,0,1,MED
297,0,3,0,0,3,MED
299,1,1,0,0,2,CON
300,3,41,1,0,45,MED
301,1,36,2,0,39,MED
302,1,25,2,0,28,MED
303,1,21,2,0,24,MED
304,0,4,1,0,5,MED
305,0,1,0,0,1,MED
306,0,3,0,0,3,MED
307,0,3,0,0,3,MED
308,0,3,0,0,3,MED
309,1,2,0,0,3,MED
310,3,27,1,0,31,MED
311,0,1,0,0,1,MED
313,0,3,0,0,3,MED
314,0,2,0,0,2,MED
316,0,3,0,0,3,MED
318,1,0,1,0,2,ITM
319,0,1,0,0,1,MED
320,2,26,1,0,29,MED
321,2,32,3,0,37,MED
322,0,0,1,0,1,TMK
323,0,3,0,0,3,MED
324,0,2,0,0,2,MED
325,0,3,0,0,3,MED
326,0,2,0,0,2,MED
327,0,0,1,0,1,TMK
328,0,0,1,0,1,TMK
329,0,1,0,0,1,MED
330,0,1,0,0,1,MED
331,0,1,0,0,1,MED
332,0,4,0,0,4,MED
333,2,2,0,0,4,CON
334,1,1,0,0,2,CON
335,0,1,0,0,1,MED
336,0,1,0,0,1,MED
338,0,1,0,0,1,MED
339,0,1,0,0,1,MED
340,0,1,1,0,2,CON
341,0,1,1,0,2,CON
342,5,122,201,0,328,TMK
343,1,69,95,0,165,TMK
345,0,1,0,0,1,MED
346,0,1,0,0,1,MED
347,0,2,0,0,2,MED
348,0,2,0,0,2,MED
349,0,1,0,0,1,MED
350,0,3,0,0,3,MED
351,0,2,0,0,2,MED
353,1,3,0,0,4,MED
354,0,1,0,0,1,MED
355,0,1,0,0,1,MED
358,0,2,0,0,2,MED
359,0,2,0,0,2,MED
360,1,1,0,0,2,CON
361,0,1,0,0,1,MED
362,0,3,0,0,3,MED
364,0,1,0,0,1,MED
365,0,1,0,0,1,MED
366,0,2,0,0,2,MED
368,1,0,0,0,1,INITIAL
369,0,2,0,0,2,MED
370,0,1,0,0,1,MED
371,0,3,0,0,3,MED
372,1,1,0,0,2,CON
373,0,3,1,0,4,MED
374,1,0,0,0,1,INITIAL
376,1,2,0,0,3,MED
377,0,2,0,0,2,MED
378,0,1,0,0,1,MED
380,0,1,0,0,1,MED
381,0,2,0,0,2,MED
382,0,2,0,0,2,MED
383,0,1,0,0,1,MED
384,0,2,0,0,2,MED
387,0,1,0,0,1,MED
389,0,2,0,0,2,MED
391,0,1,0,0,1,MED
392,0,2,0,0,2,MED
393,0,2,0,0,2,MED
394,0,1,0,0,1,MED
395,0,3,0,0,3,MED
396,0,1,0,0,1,MED
397,0,1,0,0,1,MED
399,0,1,0,0,1,MED
400,90,48,3,0,141,INITIAL
402,0,1,0,0,1,MED
404,0,1,0,0,1,MED
405,0,2,0,0,2,MED
408,1,2,0,0,3,MED
409,0,1,0,0,1,MED
410,0,2,0,0,2,MED
411,238,100,4,0,342,INITIAL
412,148,50,3,0,201,INITIAL
413,102,47,4,0,153,INITIAL
414,0,2,0,0,2,MED
415,0,2,0,0,2,MED
416,0,1,0,0,1,MED
417,0,2,0,0,2,MED
418,1,2,0,0,3,MED
419,0,1,1,0,2,CON
420,1,2,1,0,4,ITM
421,0,1,0,0,1,MED
422,0,1,0,0,1,MED
423,1,1,0,0,2,CON
425,0,1,0,0,1,MED
426,0,1,0,0,1,MED
427,0,2,0,0,2,MED
428,0,2,0,0,2,MED
431,0,1,0,0,1,MED
434,1,3,0,0,4,MED
435,0,2,0,0,2,MED
436,0,3,0,0,3,MED
437,0,4,0,0,4,MED
439,0,1,0,0,1,MED
440,0,1,0,0,1,MED
441,1,0,0,0,1,INITIAL
442,0,1,0,0,1,MED
443,0,2,0,0,2,MED
444,0,1,0,0,1,MED
445,0,2,0,0,2,MED
446,0,2,0,0,2,MED
448,1,0,0,0,1,INITIAL
449,0,1,0,0,1,MED
451,1,0,0,0,1,INITIAL
452,0,1,0,0,1,MED
455,1,1,0,0,2,CON
457,0,1,0,0,1,MED
459,0,3,0,0,3,MED
460,0,1,0,0,1,MED
463,0,1,0,0,1,MED
466,0,1,1,0,2,CON
467,0,1,0,0,1,MED
468,0,0,1,0,1,TMK
469,1,2,0,0,3,MED
471,0,2,1,0,3,MED
473,0,1,0,0,1,MED
474,0,1,0,0,1,MED
475,0,1,0,0,1,MED
477,0,1,0,0,1,MED
478,0,1,0,0,1,MED
479,0,2,0,0,2,MED
481,0,2,0,0,2,MED
482,0,1,0,0,1,MED
484,0,1,0,0,1,MED
485,0,1,0,0,1,MED
486,0,1,0,0,1,MED
487,0,2,0,0,2,MED
489,0,2,0,0,2,MED
493,0,1,0,0,1,MED
497,0,1,0,0,1,MED
498,1,0,0,0,1,INITIAL
499,0,2,0,0,2,MED
500,1,19,0,0,20,MED
501,0,9,2,0,11,MED
502,0,18,1,0,19,MED
503,0,1,0,0,1,MED
505,0,1,0,0,1,MED
507,0,1,0,0,1,MED
509,0,2,0,0,2,MED
510,0,15,1,0,16,MED
550,139,47,94,0,280,ITM